Temperature,H2,H2O,CO,CO2,CH2O,CH4,CH3OH,C2H2,CH3CHO,C2H4,C2H6,CH3COCH3,A1-C6H6,C5H6,A2-C10H8,A1OH-C6H6O,C5H4O2,C2H2O2,HAA-C2H4O2,XYLOSE-C5H8O,C11H12O4,C8H10O3,C2H5OH,HCOOH
1073.0,0.00021,0.06756,0.0663,0.1148,0.06269,0.00269,0.03816,0.0,0.01277,0.01093,0.0,0.05037,0.0,0.0,0.0,0.00146,0.0,0.02437,0.07396,0.0766,0.05563,0.0,0.00833,0.00701
1073.0,0.00019,0.06661,0.0675,0.11029,0.0554,0.00262,0.04224,0.0,0.01153,0.00938,0.0,0.04595,0.0,0.0,0.0,0.00146,0.0,0.02182,0.06763,0.08928,0.05998,0.0,0.00707,0.00662
1073.0,0.00021,0.19454,0.05363,0.10119,0.0612,0.00195,0.02866,0.0,0.01152,0.011,0.0,0.04731,0.0,0.0,0.0,0.00131,0.0,0.0238,0.07103,0.05673,0.04058,0.0,0.00845,0.00608
1073.0,0.00018,0.18888,0.05733,0.09935,0.05387,0.00234,0.03302,0.0,0.01104,0.00934,0.0,0.04354,0.0,0.0,0.0,0.00127,0.0,0.02102,0.06391,0.06832,0.04856,0.0,0.00711,0.00607
1073.0,0.00016,0.1859,0.05813,0.09575,0.04816,0.00229,0.03597,0.0,0.01005,0.00812,0.0,0.04009,0.0,0.0,0.0,0.00127,0.0,0.01903,0.05901,0.07887,0.05253,0.0,0.00612,0.00578
1073.0,0.00017,0.31268,0.04465,0.08545,0.05183,0.00159,0.02364,0.0,0.0097,0.0093,0.0,0.04019,0.0,0.0,0.0,0.00112,0.0,0.02025,0.06057,0.05052,0.0332,0.0,0.00713,0.00512
1073.0,0.00016,0.30283,0.04863,0.08482,0.04608,0.002,0.0279,0.0,0.00946,0.00796,0.0,0.03738,0.0,0.0,0.0,0.00109,0.0,0.01805,0.05491,0.0598,0.04159,0.0,0.00606,0.00521
1073.0,0.00014,0.29806,0.0499,0.08246,0.04142,0.00197,0.03076,0.0,0.00866,0.00696,0.0,0.03456,0.0,0.0,0.0,0.00109,0.0,0.01641,0.05087,0.06841,0.04539,0.0,0.00524,0.00498
1073.0,0.0,0.15817,0.16289,0.06265,0.05599,0.00929,0.07508,0.0,0.0123,0.07473,0.0,0.05261,0.0,0.0,0.0,0.03874,0.0,0.0,0.02027,0.0,0.1904,0.0,0.0,0.00907
1073.0,0.00027,0.06414,0.05581,0.1188,0.07777,0.00118,0.02584,0.0,0.01305,0.01443,0.0,0.05845,0.0,0.0,0.0,0.00163,0.0,0.03081,0.09109,0.06296,0.0231,0.0,0.01103,0.00652
